Time : 12:57:55; X : 4.979612000186598; Y : -5.039840708724465; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:55; X : 4.979425257119048; Y : -5.04007427099039; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:55; X : 4.978240653051694; Y : -5.041567277728558; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:55; X : 4.975029975003145; Y : -5.046338935310717; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:55; X : 4.971267516532429; Y : -5.053833234725686; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:55; X : 4.968594572641641; Y : -5.0619637849185235; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.967150094598171; Y : -5.07047426706439; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.966992460719011; Y : -5.079111278398431; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.968128700459893; Y : -5.087681104817207; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.970532859727069; Y : -5.095982159063217; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.9741234814714845; Y : -5.103777078179406; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.978870030401345; Y : -5.11100404703819; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.984656469299693; Y : -5.11745982047703; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.99110627823037; Y : -5.122777365264077; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 4.995703342250551; Y : -5.125672625258417; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:56; X : 5.006061370260916; Y : -5.130166962550064; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.014476452475238; Y : -5.13216042587008; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.023101021215962; Y : -5.132875058613707; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.031741489456459; Y : -5.132292412710362; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.040120912209906; Y : -5.130446812135944; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.048196047161939; Y : -5.127350110890072; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.055724012220611; Y : -5.12307944605346; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.062534755431073; Y : -5.117728463121779; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.068470070921271; Y : -5.111419549929213; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.073358796150149; Y : -5.104354139277112; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:57; X : 5.077166968648165; Y : -5.096587785963922; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.079774536607422; Y : -5.088334904999738; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.0811207821273445; Y : -5.079779952452269; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.081175340174743; Y : -5.071151267207165; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.0799485813335945; Y : -5.062641470270659; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.077453599109652; Y : -5.054360126272546; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.073747681860977; Y : -5.046539721535804; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.0689121133347985; Y : -5.03935696683079; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.063091268882902; Y : -5.03301058346742; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.056365429019401; Y : -5.027584470017204; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:58; X : 5.0489007394880785; Y : -5.023221228372594; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:59; X : 5.040863294645049; Y : -5.020020375197152; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.5
Time : 12:57:59; X : 5.032434532950945; Y : -5.01805618880034; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.4134807873128454
Time : 12:57:59; X : 5.0238012616067245; Y : -5.017359137809193; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.2692345235098372
Time : 12:57:59; X : 5.015397287335596; Y : -5.017838418813526; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.1388806341594067
Time : 12:57:59; X : 5.007143043735722; Y : -5.0193338782421595; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 1.0239191642643228
Time : 12:57:59; X : 4.998484419938491; Y : -5.021916280296412; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.9162051198177426
Time : 12:57:59; X : 4.990029055937354; Y : -5.025402321112061; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.8191877166019648
Time : 12:57:59; X : 4.981836783793169; Y : -5.029685074556072; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.7319829373377975
Time : 12:57:59; X : 4.973941700482665; Y : -5.03466775486049; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.6534698027495511
Time : 12:57:59; X : 4.966387535739313; Y : -5.0402378959187235; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.5833753600013543
Time : 12:58:00; X : 4.959155149054724; Y : -5.046327011429091; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.5204938397233212
Time : 12:58:00; X : 4.952238205822598; Y : -5.052865472694899; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.4640424096427469
Time : 12:58:00; X : 4.945626066208519; Y : -5.059791259097677; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.4133485348464401
Time : 12:58:00; X : 4.939305466097211; Y : -5.067048962324968; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.36778888138216903
Time : 12:58:00; X : 4.933262773811201; Y : -5.0745876731047; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.32682523395950636
Time : 12:58:00; X : 4.927573102982406; Y : -5.082232130277439; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.2897445449749174
Time : 12:58:00; X : 4.922218684557456; Y : -5.089966298554487; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.25482208910960225
Time : 12:58:00; X : 4.916910268108692; Y : -5.098138797011983; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.22540702779063082
Time : 12:58:00; X : 4.911793704916991; Y : -5.106467587091733; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.1990681553986784
Time : 12:58:00; X : 4.9068489057848454; Y : -5.114933603389789; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : 0.17544896027878565
